id,name,score,zip_code,city,state
17069,Starbucks ,4.8,98022,Enumclaw,WA
26551,Avenue Cafe,4.8,20814,Bethesda,MD
38043,Cousin’s Bar-B-Q - McCart,4.6,76133,Fort Worth,TX
6701,Dickey's Barbecue Pit  1002 N Eisenhower Dr,4.9,25801,Beckley,WV
34424,Italian Garden,4.6,79401,Lubbock,TX
28610,U.S Seafood Tony's Breakfast ,4.9,20002,Washington,DC
59539,Empire Baking Co.,4.9,75209,Dallas,TX
55764,Church's Chicken ,4.6,79905,El Paso,TX
25798,Wawa 687 ,4.7,23692,Yorktown,VA
22377,China Express,4.6,20124,Clifton,VA
62532,Happy Dragon,4.5,78130,New Braunfels,TX
5749,Burger King ,4.7,53511,Beloit,WI
45535,Taco Bell ,4.7,79605,Abilene,TX
23100,Milano's Pizza and Pasta ,4.7,20874,Germantown,MD
53399,Saltgrass ,4.5,77096,Houston,TX
23731,Chick-fil-A  ,4.8,23111,Mechanicsville,VA
8265,Taco Bell ,4.6,98036,Lynnwood,WA
25891,BurgerFi Charlottesville-5th Street Station,4.7,22902,Charlottesville,VA
61067,Chili's ,4.5,75013-5427,Allen,TX
52773,Spaghetti Western Italian Cafe ,4.6,77007,Houston,TX
42891,Steak 'N Shake ,4.2,76015,Arlington,TX
20815,Pizza Hut ,4.6,22304,Alexandria,VA
1813,Indian village restaurant,4.8,53220,Greenfield,WI
1072,O'Charley's ,4.5,36535,Foley,AL
14925,Marlai Fine Thai Cuisine,4.9,98105,Seattle,WA
16677,Victorico's ,4.5,98632,Longview,WA
56288,Sonic ,4.8,79407,Lubbock,TX
34895,Green Vegetarian Cuisine ,4.9,78230,San Antonio,TX
17060,Starbucks ,4.7,98203,Everett,WA
58157,Jack in the Box ,4.3,75044,Garland,TX
7897,Vietnamese Sandwiches &amp; Teriyaki,4.7,98133,Shoreline,WA
61112,Sonic ,4.6,75013,Allen,TX
23823,Pie 314,4.5,23223,Richmond,VA
28551,Sbarro  ,4.6,20002,Washington,DC
21868,Cafe Rio ,4.5,20170,Herndon,VA
18910,Maggio's Italiano ,4.5,22303,Alexandria,VA
9577,Xiao Chi Jie,4.8,98004,Bellevue,WA
58324,McDonald's ,4,75243,Dallas,TX
42818,Schlotzsky's Deli ,4.1,76065,Midlothian,TX
42228,Angelo's Pizza &amp; Pasta,4.7,77598,Webster,TX
60724,Sarku Japan #215 Deerbrook,4.5,77338,Humble,TX
43723,Subway ,4.7,75501,Texarkana,TX
43730,Dairy Queen ,4.5,75501,Texarkana,TX
51230,Cinnabon ,4.7,77024,Houston,TX
18038,Checkers ,4.1,22191,Woodbridge,VA
14292,Little Euro,4.7,99206,Spokane Valley,WA
1875,Noodles &amp; Company ,4.9,53217,Milwaukee,WI
24305,KFC ,4.5,24073,Christiansburg,VA
24798,Hooters ,4.3,23113,Midlothian,VA
46766,Taco Bell ,4.6,77375,Tomball,TX
8732,Seattle Deli,4.8,98026,Edmonds,WA
21364,Tropical Smoothie Cafe - Roanoke,4.8,24012,Roanoke,VA
58733,McDonald's® ,4.5,77459,Missouri City,TX
54029,IHOP ,4.2,77339,Houston,TX
26134,Subway ,4.5,20110,Manassas,VA
2365,Panda Express ,4.4,53022,Germantown,WI
52873,NEW ORLEANS D&amp;W DAIQUIRIS TO GO - OST,4.5,77021,Houston,TX
2236,Sobelman's,4.6,53233,Milwaukee,WI
21890,Hanaro Sushi,4.8,20814,Bethesda,MD
51804,Bun Mang Vit Thanh Da,4.6,77072,Houston,TX
35564,Arby's ,4.7,78259,San Antonio,TX
30915,Rancherito's Mexican Food ,4.4,84065,Riverton,UT
34741,U.S.A. Donuts,4.6,78220,San Antonio,TX
33047,Black Walnut Cafe ,4.7,75013,Allen,TX
2258,Naf Naf Grill ,4.9,53005,Brookfield,WI
55385,Rainbow Fountain,4.7,79907,El Paso,TX
33558,Marble Slab Creamery ,4.7,75070,McKinney,TX
56083,Chili's ,4.4,78230-1026,San Antonio,TX
54224,L.A. TACOS,4.4,75061,Irving,TX
16759,Jack in the Box ,4.1,98391,Bonney Lake,WA
4636,TGI Friday's ,4.5,54913,Appleton,WI
60310,7-Eleven ,4.4,76179,Fort Worth,TX
59184,Kabob Korner - Mason Rd.,4.6,77450,Katy,TX
62649,Taco Bell ,4,75965,Nacogdoches,TX
57927,Chili's ,4.5,78109-1032,Converse,TX
48370,Starwood Cafe ,4.6,76227,Aubrey,TX
28732,Copacabana Acai ,3.6,20002,Washington D.C,DC
9274,Taqueria el Gallo,4.5,98052,Redmond,WA
16541,McDonald's® ,4.8,99021,MEAD,WA
3038,David’s Jamaican Cuisine,4.7,53716,Monona,WI
27777,Subway ,5,22306,Alexandria,VA
39170,Denny's ,4.4,76137,Ft. Worth,TX
52896,Cinnaholic ,5,77584,Pearland,TX
47308,May Dragon Chinese Restaurant,4.4,75254,Dallas,TX
51058,Pakwan House,4.3,77083,Houston,TX
36001,7-Eleven ,4.8,78666,San Marcos,TX
14692,Jade Garden Chinese Restaurant,4.6,98201,Everett,WA
56217,Urban Bricks ,4.6,78257,San Antonio,TX
60995,Whataburger ,3.4,78336,Aransas Pass,TX
37993,Namaste Grill &amp; Bar Fort Worth,3.9,76137,Fort Worth,TX
38166,Goody Goody Liquor,4.8,76116,Fort Worth,TX
53497,Casa Ole ,3.9,77338,Humble,TX
3940,Toppers Pizza ,3.8,53172,South Milwaukee,WI
32065,Wendy's  ,4.7,84045,Saratoga Springs,UT
50393,Jack in the Box ,4.4,75150,Mesquite,TX
60372,Hootie's Burger Bar ,3.2,75104,Cedar Hill,TX
47788,Boba World,4.6,75067,Lewisville,TX
19337,George's King of Falafel and Cheesesteak,4.8,20007,Washington,DC
25761,MOD Pizza ,4.6,23320,Chesapeake,VA
47122,Tailgaters Bar &amp; grill,3.7,75034,Frisco,TX
50949,Bombay Delight,4.8,77479,Sugar Land,TX
34559,54th Street Restaurant &amp; Drafthouse - ,4.6,78216,San Antonio,TX
28725,The Boiling Crab ,4.4,20002,Washington,DC
25057,Chanello's Pizza ,4.5,23221,Richmond,VA
19752,Bluestone Lane Coffee ,4.9,20004,Washington,DC
44304,Yolked Breakfast &amp; More ,4.4,78681,Round Rock,TX
23911,Poe's Pub,4.7,23223,Richmond,VA
19119,Teriyaki Time,4.5,22044,Falls Church,VA
32724,AGAPE KAFE,5,00983,Carolina,
54325,Five Guys TX-1182 6440 N. MacArthur Blvd,4.5,75039,Iriving,TX
46275,Willie's Grill &amp; Icehouse - Willowbrook,4.7,77070,Houston,TX
30710,Breakfast Beauties ,4.2,84107,Murray,UT
50133,Burger Street ,4.4,75150,Mesquite,TX
19669,Barmy Wine &amp; Liquor ,4.9,20036,Washington,DC
45522,Don Luis Cafe,4.7,79603,Abilene,TX
15081,Athina Grill,4.7,98109,Seattle,WA
8577,Bambu,4.9,98026,Edmonds,WA
37894,Easy Freshly ,4.7,76137,Fort Worth,TX
25998,Papa Johns ,4.6,23517,Norfolk,VA
45865,Cicis Pizza  ,4.2,77070,Houston,TX
43157,Schlotzsky's Deli ,4.5,76120,Fort Worth,TX
11334,Niños Birrieria,4.4,97220,Portland,OR
42470,Village Pizza &amp; Seafood - Seabrook,4.8,77586,Seabrook,TX
23477,You Like Skewers,4.6,22003,Annandale,VA
63123,Wendy's  ,4.6,77055,Houston,TX
41681,IHOP 1487 ,4.4,78728,Austin,TX
8436,The Everest Kitchen,4.8,98155,Lake Forest Park,WA
17864,Almitas Mexican Restaurant,4.6,22191,Woodbridge,VA
55090,Church's Chicken ,4,77026,Houston,TX
36930,Italiano's Capriccio,4.7,76020-2518,Azle,TX
17227,Burger King ,4.4,98683,Vancouver,WA
52175,Pepperoni's ,4.4,77459,Missouri City,TX
51345,Imperial China Diner,4.5,77584,Pearland,TX
36535,Golden Chick ,3.9,75146,Lancaster,TX
29111,Los Cuates ,4.2,20009,Washington,DC
30951,Dog Haus ,4.6,84070,Sandy,UT
23485,Potbelly Sandwich Shop ,4.7,22150,Springfield,VA
49866,Burger King ,4.4,78610,Buda,TX
2727,Perkins Restaurant &amp; Bakery ,4.1,54650,Onalaska,WI
21628,Manhattan Pizza,4.5,20152,South Riding,VA
7293,McDonald's® ,4.8,25313,CROSS LANES,WV
9139,Chicago Gyros,5,98272,Monroe,WA
14809,Brewed Awakening,4.6,98065,Snoqualmie,WA
21214,Chili's ,4.6,23456-7730,Virginia Beach,VA
54898,Morton's The Steakhouse  ,4.7,77002,Houston,TX
48099,Pink Berry - West Plano Village,4.9,75093,Plano,TX
45805,Grab N Go Tacos ,4.6,77379,Spring,TX
15635,Can Am Pizza ,4.6,98003,Federal Way,WA
16896,Black Rock WA Kennewick HWY 395,4.7,99336,Kennewick,WA
41144,Five Guys TX-0450 10000 Research Blvd,4.7,78759,Austin,TX
58155,Whataburger ,4.4,75081,Richardson,TX
46882,Panera ,4.7,78738,Bee Cave,TX
9038,Salt &amp; Straw ,4.9,98034,Kirkland,WA
53767,Papa Johns ,4.3,77338,Humble,TX
3520,China 1,4.5,53223,Milwaukee,WI
52788,Pokeworks ,4.8,77054,Houston,TX
9840,Teahaus,4.6,99352,Richland,WA
7448,Panda Express ,4.5,98516,Olympia,WA
8922,The Habit Burger Grill ,4.7,98107,Seattle,WA
24026,IHOP ,4.3,23231,Richmond,VA
43212,Bahama Buck's ,4.7,76011,Arlington,TX
9975,Youskyme Teriyaki,4.8,98664,Vancouver,WA
32033,KFC ,3.7,84321,Logan,UT
59966,HEROES GRILL,4.4,75247,Dallas,TX
7907,Poke Pekoe,4.7,98036,Lynnwood,WA
39307,Jersey Mike’s Subs ,5,76021,Bedford,TX
27123,Noodles &amp; Company ,4.8,22030,Fairfax,VA
46795,Freebirds World Burrito ,4.5,77069,Houston,TX
36466,Roma’s Italian Bistro Of DeSoto,4.4,75115,DeSoto,TX
57650,McDonald's® ,4.5,78207-3017,SAN ANTONIO,TX
60816,First Watch ,4.7,77396,Humble,TX
15956,Outback Steakhouse ,4.6,98006,Bellevue,WA
18292,Pho Golden 5 Stars,4.5,22150,Springfield,VA
8591,Kitanda Espresso &amp; Açaí ,4.8,98115,Seattle,WA
